sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2013-10-21;272,600;273,000;273,900;273,900;271,500;272,600;272,927;23487;6410225,2;160;
2013-10-18;271,100;271,400;270,000;271,400;268,600;271,400;269,994;9643;2603553,3;101;
2013-10-17;268,800;269,000;272,000;272,000;266,500;269,000;268,871;17896;4811710,1;137;
2013-10-16;267,200;267,800;268,000;268,100;264,700;267,800;266,268;16610;4422707,3;100;
2013-10-15;267,900;269,300;266,000;269,500;266,000;268,600;268,166;10031;2689976;83;
2013-10-14;265,000;265,400;267,000;268,000;264,700;265,000;266,727;8452;2254372,6;85;
2013-10-11;268,500;268,800;268,000;270,300;267,000;268,500;268,704;20695;5560819,7;131;
2013-10-10;266,500;266,900;261,700;267,400;261,700;266,900;265,313;4624;1225665,25;56;
2013-10-09;260,900;261,300;263,900;266,400;260,500;260,900;264,436;19752;5223148,5;109;
2013-10-08;263,900;264,300;262,000;266,900;262,000;264,300;264,971;6858;1817173,2;78;
2013-10-07;261,800;262,200;263,200;263,200;260,500;262,200;261,604;7557;1976939,8;78;
2013-10-04;263,500;263,800;263,200;265,500;263,000;263,800;263,960;10777;2844697,3;97;
2013-10-03;263,000;263,300;262,800;265,600;262,600;263,000;263,990;18178;4798801,5;117;
2013-10-02;262,300;262,700;263,400;263,900;261,500;262,300;262,593;8648;2270902,8;82;
2013-10-01;263,800;264,000;261,500;265,000;260,500;264,000;262,078;13820;3621921,3;118;
2013-09-30;262,000;262,200;265,000;265,000;259,000;262,000;261,077;29841;7790797;145;
2013-09-27;265,400;265,800;266,500;267,800;265,200;265,800;266,338;13100;3489023,9;107;
2013-09-26;265,200;266,000;264,200;267,000;261,600;265,700;265,001;30677;8129426,9;193;
2013-09-25;264,300;264,700;270,000;270,000;262,400;264,700;266,165;47052;12523603,7;288;
2013-09-24;271,000;271,400;272,300;273,000;269,800;271,000;271,113;5615;1522297;78;
2013-09-23;271,900;272,300;274,000;274,300;271,500;272,300;272,650;9600;2617442,1;103;
2013-09-20;273,500;273,900;272,500;274,800;272,500;273,500;273,373;17760;4855107,5;111;
2013-09-19;275,200;275,600;273,500;275,900;273,300;275,600;274,248;11439;3137125,8;97;
