sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2016-03-04;79,000;79,100;79,300;79,500;78,150;79,050;78,789;8708946;686095626,1;6753;
2016-03-03;79,100;79,150;80,300;80,500;78,700;79,100;79,388;5129063;407190523,23;4720;
2016-03-02;79,650;79,750;80,400;80,950;79,200;79,800;80,052;6104520;488702716,03;5751;
2016-03-01;80,250;80,350;79,250;80,350;78,450;80,150;79,696;5839839;465413383,96;5456;
2016-02-29;79,300;79,350;78,300;79,350;77,500;79,150;78,705;6246496;491622034,36;5709;
2016-02-26;78,700;78,750;79,700;80,600;78,100;78,600;79,137;8632195;682890245,33;7483;
2016-02-25;79,050;79,100;78,200;79,100;77,100;79,100;78,241;8950196;700282178,35;7303;
2016-02-24;77,000;77,050;78,450;78,450;76,750;77,050;77,332;45405457;3544179989;5572;
2016-02-23;78,500;78,600;79,350;79,350;78,200;78,400;78,582;6769424;531838560,56;5747;
2016-02-22;79,150;79,250;78,550;79,450;78,300;79,450;79,108;5514296;436150348,39;4770;
2016-02-19;77,450;77,500;78,150;78,750;77,350;77,550;77,829;8156624;634791479,31;5810;
2016-02-18;77,850;77,950;78,000;79,050;77,400;78,100;78,231;6146553;480793490,09;5675;
2016-02-17;77,350;77,450;76,800;78,000;75,750;77,800;77,244;8766962;677199253,9;7426;
2016-02-16;76,150;76,200;76,500;77,000;75,850;76,350;76,431;9566714;731196605,93;7031;
2016-02-15;76,100;76,150;74,650;76,200;74,500;76,200;75,699;7538409;570646421,55;5345;
2016-02-12;72,800;72,850;71,700;73,050;71,500;73,050;72,611;9637895;699781200,03;7004;
2016-02-11;71,300;71,350;72,500;72,500;71,000;71,050;71,541;11678179;835566316,35;9137;
2016-02-10;73,500;73,550;72,500;73,850;71,500;73,300;73,038;8514401;621870654,23;6817;
2016-02-09;72,050;72,100;72,250;72,950;70,650;72,000;71,889;8169221;587340973,06;6793;
2016-02-08;71,900;72,000;74,350;75,500;71,900;72,000;73,173;10889785;796873105,05;8923;
2016-02-05;74,300;74,350;74,750;75,500;74,300;74,300;74,856;8646998;647275914,95;7639;
2016-02-04;74,750;74,850;74,950;75,400;73,350;74,850;74,667;9896197;738921388,09;8731;
2016-02-03;73,500;73,600;73,400;75,350;72,900;73,750;74,030;9226094;683002855,7;7753;
2016-02-02;73,300;73,400;74,000;74,450;72,800;73,300;73,404;6975259;512014458,36;6204;
2016-02-01;74,300;74,350;75,750;76,850;73,600;74,300;74,603;10207415;761501202,95;8843;
2016-01-29;75,100;75,150;75,650;75,700;73,550;75,400;74,953;11510135;862716612,13;7986;
2016-01-28;74,550;74,600;77,000;77,800;73,850;74,350;75,464;17173683;1295459622,82;13689;
2016-01-27;76,850;76,900;83,500;83,600;76,400;76,950;78,178;31434384;2457613260,27;27015;
2016-01-26;82,150;82,200;79,000;82,400;78,950;82,100;81,436;11582820;943282497,17;9567;
2016-01-25;80,150;80,200;80,800;81,250;79,550;80,050;80,297;9948410;798978071,51;8020;
2016-01-22;80,100;80,150;77,000;80,200;76,950;80,150;79,002;13586407;1073314584,36;9715;
2016-01-21;75,050;75,150;74,100;75,300;73,250;75,100;74,464;10555307;785960045,68;9446;
2016-01-20;74,950;75,050;74,400;75,500;73,700;74,700;74,705;14103658;1053876602,97;10539;
2016-01-19;76,800;76,850;76,900;78,250;76,550;77,050;77,383;10607266;825553272,6;6885;
2016-01-18;75,750;75,850;74,750;77,500;74,650;75,700;76,237;9933441;757739416,13;10105;
2016-01-15;73,500;73,600;76,650;77,500;73,300;73,550;74,639;14785774;1103688919,65;13214;
2016-01-14;78,000;78,100;78,000;78,350;76,700;78,000;77,573;8137585;631253997,86;7121;
2016-01-13;79,000;79,050;79,500;80,100;78,700;79,200;79,478;5859202;465642420,1;5570;
2016-01-12;78,550;78,600;78,250;79,500;77,800;78,500;78,799;6849895;539837273,41;6216;
2016-01-11;77,900;78,000;77,700;78,900;77,250;78,050;78,334;8602107;674592088,08;5887;
